risk_id,name,description
R001,AI Development and Use Risk,"AI algorithms or training methodologies may be flawed, datasets may be biased, and content generated by AI may be offensive or harmful, resulting in reputational or competitive harm or liability."
R002,AI Regulation Risk,Several states and localities have enacted measures related to the use of artificial intelligence and machine learning in products and services. A proposed European regulation on AI could impose onerous obligations and require changes to business practices.
R003,AWS Revenue Growth Impact,The current macroeconomic environment and enterprise customer cost optimization efforts are expected to negatively impact AWS revenue growth rates.
R004,Account Holder Default Risk,"There is a risk that account holders who use credit products will default on their payment obligations, potentially resulting in charge-offs or negatively impacting revenue share arrangements. Non-payment rates may increase due to worsening economic conditions, rising interest rates, or high unemployment."
R005,Acquisition and Investment Risk,"The company faces risks from its inability to realize the expected benefits of business investments or acquisitions, including integration challenges, regulatory hurdles, talent retention difficulties, technology evolution, and financial impacts such as write-offs and impairment charges."
R006,Additional Tax Liabilities and Collection Obligations,"The company is subject to a variety of taxes and tax collection obligations in the U.S. and numerous foreign jurisdictions, and may recognize additional tax expense due to changes in laws, regulations, and administrative practices, including new revenue-based taxes targeting online commerce."
R007,Adverse Economic Conditions,"Economic and industry uncertainty, including recession, inflation, changes in fiscal, monetary, and trade policy, currency fluctuations, higher interest rates, tighter credit, and lower consumer confidence, can adversely affect business and financial results through increased supply chain costs, reduced margins, and decreased demand."
R008,Aging Infrastructure Risk,"The Utility's aging infrastructure poses risks to safety and system reliability, increasing the likelihood of catastrophic wildfires."
R009,Anti-Money Laundering Compliance Risk,"Non-compliance with anti-money laundering laws and regulations or economic and trade sanctions may subject PayPal to significant fines, penalties, lawsuits, and enforcement actions, result in regulatory sanctions and additional compliance requirements, increase regulatory scrutiny, restrict operations, and damage reputation and brands."
R010,App Store Regulatory Risk,"The Company faces risks from legislative initiatives impacting the App Store, such as the EU Digital Markets Act, which requires compliance by March 2024, and similar laws in other jurisdictions. These changes may affect developer charges, app distribution, and consumer communications."
R011,COVID-19 Pandemic Impact,Reduction in originations in merchant loans and advances in 2020 due to the COVID-19 pandemic.
R012,China Export Restrictions on Semiconductors,"During the third quarter of fiscal year 2023, the U.S. government announced new export restrictions and licensing requirements targeting China's semiconductor and supercomputing industries, affecting exports of certain chips, software, hardware, equipment, and technology to China (including Hong Kong and Macau) and Russia."
R013,Climate Change Risk,The company faces risks related to climate change impacts and manages these risks through a science-based approach to reducing its climate change footprint.
R014,Cloud Execution and Competitive Risk,Competitors are rapidly developing and deploying cloud-based services. Pricing and delivery models are evolving. Devices and form factors influence cloud service adoption. The company may not establish sufficient market share to achieve scale necessary to meet business objectives.
R015,Competition Risk,"Competition in current and target markets could cause NVIDIA to lose market share and revenue. Competitors may offer cheaper products, better functionality, longer operating histories, larger customer bases, more comprehensive intellectual property portfolios, and greater financial resources."
R016,Cryptocurrency Mining Demand Volatility,"Volatility in cryptocurrency markets, including price changes, government policies, new compute technologies, and changes in blockchain verification methods, creates unpredictable spikes and drops in GPU demand."
R017,Cryptocurrency Regulation Risk,"Current and planned customer cryptocurrency offerings could subject PayPal to additional regulations, licensing requirements, or other obligations. Within the U.S., PayPal is regulated by the New York Department of Financial Services as a virtual currency operator."
R018,Customer Concentration Risk,"The company receives a significant amount of revenue from a limited number of customers. Loss of any large customer, significant reduction in purchases, inability to sell due to trade restrictions, or difficulties collecting accounts receivable would likely harm financial condition and results of operations."
R019,Cyberattacks and Security Vulnerabilities,"Cyberattacks and security vulnerabilities could result in serious harm to the company's reputation, business, and financial condition."
R020,Cybersecurity Threats,"The Company faces cybersecurity threats including cyberextortion, distributed denial-of-service attacks, ransomware, spear phishing, social engineering schemes, malware, and physical destruction of IT infrastructure, any of which could compromise the confidentiality, availability, and integrity of its data."
R021,Data Protection and Privacy Law Compliance Risk,"The Company is subject to an increasing number of federal, state, and international laws relating to the collection, use, retention, security, and transfer of various types of personal information. Noncompliance could result in significant penalties or legal liability."
R022,Datacenter Capacity Constraints,"Datacenters depend on the availability of permitted and buildable land, predictable energy, networking supplies, and servers including GPUs and other components, posing risk to meeting growing demand for AI services."
R023,Demand Forecasting Risk,"Risk of underestimating or overestimating customer demand for products, leading to inventory issues, lost revenue, damaged customer relationships, and impacted gross margins."
