source_company_id,target_company_id,target_company_name
C001,,Alibaba Group
C001,,Alphabet
C001,C003,Microsoft Corporation
C001,,Shopify Inc.
C001,,Walmart Inc.
C002,,Google
C002,C003,Microsoft Corporation
C002,,Nintendo
C002,,Samsung Electronics Co. Ltd
C002,,Sony
C003,,Adobe
C003,C001,"Amazon.com, Inc."
C003,C002,Apple Inc.
C003,,BMC
C003,,CA Technologies
C003,,"Cisco Systems, Inc."
C003,,Dell
C003,,Google
C003,,Hewlett-Packard
C003,,IBM
C003,,Intel Security Group
C003,,Lenovo
C003,,"McAfee, LLC"
C003,,Meta
C003,,"Netflix, Inc."
C003,,Nintendo
C003,,Nokia
C003,,Okta
C003,,OpenAI
C003,,Oracle
C003,,Proofpoint
C003,,Red Hat
C003,,SAP
C003,,Salesforce
C003,,Slack
C003,,Snowflake
C003,,Sony
C003,,Symantec
C003,,Tencent
C003,,VMware
C003,,Yahoo
C003,,Zoom
C004,,"Advanced Micro Devices, Inc."
C004,,Advantest America Inc.
C004,,Alibaba Group
C004,,Alphabet
C004,C001,"Amazon.com, Inc."
C004,,"Ambarella, Inc."
C004,,Arista Networks
C004,,Arm
C004,,BYD Auto
C004,,"Baidu, Inc."
C004,,Broadcom Inc.
C004,,"Cisco Systems, Inc."
C004,,Hewlett Packard Enterprise Company
C004,,Hewlett-Packard
C004,,Intel Corporation
C004,,"Juniper Networks, Inc."
C004,,Marvell Technology Group
C004,,Micron Technology
C004,C003,Microsoft Corporation
C004,,Qualcomm Incorporated
C004,,Quantum Corp.
C004,,Renesas Electronics Corporation
C004,,SK Hynix
C004,,Samsung Electronics Co. Ltd
C004,,SoftBank Group Corp.
C004,,"Tesla, Inc."
C004,,Texas Instruments Incorporated
C005,,CAISO
C005,,Pacific Power
C005,,San Diego Gas & Electric Company
C005,,Sempra Energy
C005,,Southern California Edison
C006,,Adyen N.V.
C006,,"Block, Inc."
C006,,Stripe Inc.
C006,,eBay
