product_id,name,description
P001,A100,
P002,A100 integrated circuits,
P003,A100X,
P004,A800,
P005,A800 offering,
P006,AGX system,
P007,AI,
P008,AI Skills Initiative,
P009,AI cognitive services,
P010,API,
P011,AWS,
P012,Ada Lovelace GPU architecture,
P013,Ada Lovelace architectures,
P014,"Advertising, Publishing, and Digital Content Subscriptions",
P015,Amazon Prime,
P016,App Store,
P017,Apple TV 4K,
P018,Apple Vision Pro,
P019,Apple Watch Series 9,
P020,Apple Watch Ultra 2,
P021,Azure,
P022,Azure AI,
P023,Azure AI platform,
P024,Azure IoT Edge,
P025,Azure Orbital,
P026,Azure Space & Missions Engineering,
P027,Battery Energy Storage,
P028,Benefits for Employees,
P029,Bing,
P030,Bing Chat,
P031,Bluefield DPU,
P032,CMP products,
P033,CUDA parallel programming model,
P034,CUDA programming language,
P035,CUDA programming model,
P036,CUDA-X,
P037,Client Access Licenses,
P038,Cloud Services,
P039,Cloud infrastructure,
P040,Code of Conduct training,
P041,Compute & Networking,
P042,"Compute, Storage, and Database Offerings",
P043,Consumer Products,
P044,DGX Cloud,
P045,DGX systems,
P046,DRIVE,
P047,DRIVE AGX,
P048,DRIVE Hyperion,
P049,DRIVE Software,
P050,Daily Signals employee survey,
P051,Data Center products,
P052,Device Management,
P053,Devices,
P054,Dynamics,
P055,Dynamics 365,
P056,Dynamics business solutions,
P057,EGX system,
P058,Earth-2,
P059,Electric Vehicle Charging Ports,
P060,Electronic Devices,
P061,Employee Resource Groups,
P062,Employee Signals surveys,
P063,Employee Stock Purchase Plan,
P064,Employee stock purchase program,
P065,Energy Storage,
P066,Enterprise Agreements,
P067,Enterprise Mobility + Security,
P068,Enterprise Services,
P069,Ethernet network adapters,
P070,European Marketplace for Sellers,
P071,Fire Victim Trust,
P072,GPU,
P073,GPUs,
P074,Gaming,
P075,Gaming products,
P076,GeForce GPUs,
P077,GeForce GTX,
P078,GeForce NOW,
P079,GeForce NOW Ultimate membership tier,
P080,GeForce RTX,
P081,GeForce RTX 40 Series,
P082,GeForce RTX 4090,
P083,GeForce platform,
P084,GitHub,
P085,GitHub Copilot,
