riskId,name,description
R001,2017 Northern California Wildfire Claims,"PG&E faced $7.5 billion in claims costs associated with the 2017 Northern California wildfires, requiring securitization and recovery bonds to finance."
R002,2019 Kincade Fire Liability,"PG&E Corporation and the Utility could be liable as a result of the 2019 Kincade fire, with probable losses recorded at the lower end of the reasonably estimable range."
R003,2020 Zogg Fire Liability,"Criminal charges have been filed against the Utility in connection with the 2020 Zogg fire, and if convicted, total losses could materially exceed accrued estimated liabilities, with full restitution to victims required under California law."
R004,2021 Dixie Fire Liability,The Utility has recorded receivables of $503 million for regulatory recovery of costs related to the 2021 Dixie fire.
R005,2022 Mosquito Fire Liability,The Utility has recorded receivables of $60 million for regulatory recovery of costs related to the 2022 Mosquito fire.
R006,A-to-z Guarantee Cost Risk,"As third-party seller sales grow, the cost of the A-to-z Guarantee program reimbursing customers will increase and could negatively affect operating results."
R007,AI Cloud Services Risk,"NVIDIA AI cloud services may not be successful and will take time, resources and investment. New business models or strategies may not be successful and the company may fail to sell any meaningful standalone software or as-a-service solutions."
R008,AI Data Usage Regulatory Risk,"Regulatory developments may constrain the ability to use data for AI services and insights, impeding expected returns on investment and affecting customer perceptions of quality and operational efficiency."
R009,AI Development and Use Risk,"AI algorithms or training methodologies may be flawed, datasets may be biased, and content generated by AI may be offensive or harmful, resulting in reputational or competitive harm or liability."
R010,AI Ethics and Regulation Risk,"Risk of brand or reputational harm, competitive harm or legal liability relating to the responsible development and use of AI models and systems. Compliance with government regulation in AI ethics may increase costs, and changes in AI-related regulation could disproportionately impact the company and require changes to business practices."
R011,AI Harm and Liability,"Content generated by AI systems may be offensive, illegal, or otherwise harmful. Ineffective or inadequate AI development or deployment practices could result in incidents that impair the acceptance of AI solutions or cause harm to individuals, customers, or society, or result in products and services not working as intended."
R012,AI Market Competition,"AI technology and services are expected to be a highly competitive and rapidly evolving market. Significant development and operational costs are required to build and support AI capabilities, products, and services."
R013,AI Regulation Risk,Several states and localities have enacted measures related to the use of artificial intelligence and machine learning in products and services. A proposed European regulation on AI could impose onerous obligations and require changes to business practices.
R014,AI Regulatory Restriction Risk,"The increasing focus on the strategic importance of AI technologies has resulted in regulatory restrictions targeting products and services capable of enabling or facilitating AI, including potential additional unilateral or multilateral export controls on AI technologies such as GPUs and associated products."
R015,AI Regulatory and Legal Liability,"Implementation of AI systems could subject Microsoft to competitive harm, regulatory action, legal liability including under new proposed legislation regulating AI in jurisdictions such as the EU, and brand or reputational harm."
R016,AWS Revenue Growth Impact,The current macroeconomic environment and enterprise customer cost optimization efforts are expected to negatively impact AWS revenue growth rates.
R017,Abuse of Platforms,"For platform products and services that provide content or host ads influenced by third parties, reputation or user engagement may be negatively impacted by abuse of platforms including advertising, professional, marketplace, and gaming platform abuses."
R018,Account Holder Default Risk,"There is a risk that account holders who use credit products will default on their payment obligations, potentially resulting in charge-offs or negatively impacting revenue share arrangements. Non-payment rates may increase due to worsening economic conditions, rising interest rates, or high unemployment."
R019,Acquisition Financing Risk,"Potential issuances of debt to finance acquisitions, resulting in increased debt, increased interest expense, and compliance with debt covenants or other restrictions."
R020,Acquisition Integration Risk,"Cultural challenges associated with integrating employees from the acquired company into our organization, and retention of employees from the businesses we acquire."
R021,Acquisition Regulatory Risk,"Acquisitions may be subject to government regulatory reviews that can prevent their completion and result in material costs, as demonstrated by the termination of the Arm Limited acquisition."
R022,Acquisition Termination Risk,NVIDIA wrote off a $1.35 billion prepayment related to the termination of the Arm acquisition transaction in FY2023.
R023,Acquisition and Investment Risk,"The company faces risks from its inability to realize the expected benefits of business investments or acquisitions, including integration challenges, regulatory hurdles, talent retention difficulties, technology evolution, and financial impacts such as write-offs and impairment charges."
R024,Acquisition and Merger Risks,"Future acquisitions or mergers may require the company to issue additional equity securities, incur debt, or recognize contingent liabilities and amortization expenses related to intangible assets, which could reduce profitability."
R025,Acquisitions and Strategic Alliances Risk,"Acquisitions, joint ventures, and strategic alliances involve significant challenges and risks including failure to advance business strategy, unsatisfactory return on investment, compliance obligations, difficulty integrating employees and technology, and management distraction."
R026,Additional Tax Liabilities and Collection Obligations,"The company is subject to a variety of taxes and tax collection obligations in the U.S. and numerous foreign jurisdictions, and may recognize additional tax expense due to changes in laws, regulations, and administrative practices, including new revenue-based taxes targeting online commerce."
R027,Adverse Economic Conditions,"Economic and industry uncertainty, including recession, inflation, changes in fiscal, monetary, and trade policy, currency fluctuations, higher interest rates, tighter credit, and lower consumer confidence, can adversely affect business and financial results through increased supply chain costs, reduced margins, and decreased demand."
R028,Aging Infrastructure Risk,"The Utility's aging infrastructure poses risks to safety and system reliability, increasing the likelihood of catastrophic wildfires."
R029,Air Quality and Climate Change Regulation,"The Utility's electric generation plants, natural gas pipeline operations, vehicle fleet, and fuel storage tanks are subject to numerous air pollution control laws including the federal Clean Air Act and state and local statutes covering GHG emissions, CO2, SO2, NOx, particulate matter, and other pollutants."
R030,Annual Rate Update Protests,"Parties have protested the Utility's annual formula rate updates submitted each December, and these protests are pending before the FERC."
R031,Anti-Corruption Risk,"PayPal is subject to anti-corruption laws including the U.S. Foreign Corrupt Practices Act and the U.K. Bribery Act, which prohibit offering or accepting anything of value to influence official action or gain an unfair business advantage."
R032,Anti-Corruption and Trade Law Risk,"The FCPA and other anti-corruption laws prohibit corrupt payments by employees, vendors, or agents. Failure to comply could result in significant fines, penalties, criminal sanctions, prohibitions on business conduct, and reputational damage."
R033,Anti-Money Laundering Compliance Risk,"Non-compliance with anti-money laundering laws and regulations or economic and trade sanctions may subject PayPal to significant fines, penalties, lawsuits, and enforcement actions, result in regulatory sanctions and additional compliance requirements, increase regulatory scrutiny, restrict operations, and damage reputation and brands."
R034,Anti-Money Laundering and Counter-Terrorist Financing Risk,"Regulators globally continue to increase standards regarding anti-money laundering and counter-terrorist financing, potentially requiring revision or expansion of compliance programs and making compliance more costly and operationally difficult."
R035,Anti-Money Laundering and Sanctions Risk,"PayPal is subject to anti-money laundering laws and regulations in the U.S. and other jurisdictions, as well as laws designed to prevent the use of financial systems to facilitate terrorist activities, and non-compliance could affect its ability to operate."
R036,Antitrust Investigation Risk,"The Company is subject to antitrust investigations in various jurisdictions, including Europe, relating to App Store terms and conditions. Adverse findings could result in significant fines and required business changes, materially adversely affecting the Company's business, results of operations, and financial condition."
R037,App Store Regulatory Risk,"The Company faces risks from legislative initiatives impacting the App Store, such as the EU Digital Markets Act, which requires compliance by March 2024, and similar laws in other jurisdictions. These changes may affect developer charges, app distribution, and consumer communications."
R038,Asset Retirement Obligation Estimation Risk,"Changes in estimates and assumptions about future decommissioning costs, inflation rates, and decommissioning dates could materially affect the recorded asset retirement obligation."
R039,Authentication Requirements Risk,"Financial services regulators in various jurisdictions, including the U.S. and EU, have implemented authentication requirements for banks and payment processors intended to reduce online fraud, which could impose significant costs, make it more difficult for new customers to open PayPal accounts, and reduce the ease of use of products."
R040,Banking Regulation Risk,"PayPal must comply with European banking rules and regulations covering capitalization, funds management, corporate governance, anti-money laundering, disclosure, reporting, and inspection, and may also be subject to indirect regulation through partner financial institutions."
R041,Brexit Risk,"The U.K.'s departure from the EU could harm PayPal's business, financial condition, and results of operations. Brexit may contribute to instability in financial, stock, and foreign currency exchange markets, including volatility in the value of the British Pound and Euro."
R042,Business Disruptions,"Worldwide operations could be disrupted by natural disasters, extreme weather, power or water shortages, telecommunications failures, cloud service provider outages, terrorist attacks, political unrest, acts of war, epidemics, or other catastrophic events, leading to a decline in revenue and increased costs."
R043,Business Interruption,"Operations and facilities are subject to the risk of interruption by fire, power shortages, nuclear power plant accidents, terrorist attacks, ransomware and cybersecurity attacks, labor disputes, public health issues including pandemics such as COVID-19, and other events beyond the Company's control."
R044,Business Interruptions and Systems Failures,"Systems and operations may experience business interruptions or degradation of service due to DDoS attacks, insider threats, hardware and software defects, human error, natural disasters, public health crises, power losses, telecommunications disruptions, fraud, military or political conflicts, terrorist attacks, malware, or climate change-related events."
R045,Business Interruptions or Systems Failures,"Business interruptions or systems failures may impair the availability of the Company's websites, applications, products, or services, and could otherwise harm its business."
R046,Business Model Competition,"Companies compete based on a growing variety of business models including free applications, open source software, and advertising-funded services that directly compete with revenue-generating products."
R047,Business Processes and Information Systems Disruption,"Dependence on internal processes and information systems; modification or interruption of such systems may disrupt business, processes, and internal controls."
R048,CCPA/CPRA Compliance Risk,"The California Consumer Privacy Act and California Privacy Rights Act impose obligations including rights to access, delete and opt-out of sharing personal information, with statutory fines of up to $7,500 per violation and private right of action for data breaches."
R049,COVID-19 Cost Recovery Risk,Costs incurred to implement the CPUC's Emergency Authorization and Order Directing Utilities to Implement Emergency Customer Protections during the COVID-19 pandemic were tracked in regulatory accounts and require CPUC authorization before they can be recovered through rates.
R050,COVID-19 Pandemic Impact,Reduction in originations in merchant loans and advances in 2020 due to the COVID-19 pandemic.
R051,COVID-19 Pandemic Uncertainty,Uncertainty regarding the impacts of the COVID-19 pandemic introduces risk to business results and operations.
R052,COVID-19 Risk,"Restrictions may be reimposed as the pandemic resurfaces, including lockdowns in China. End customer sales in China have been negatively impacted by lockdowns. COVID-19-related disruptions may continue to create supply chain and logistics constraints."
R053,COVID-19 and Health Issues Risk,Sudden or sustained government lockdowns or actions to control case spread of COVID-19 or other global or local health issues impacting demand for products.
R054,CPUC Penalties and Citations,"The CPUC has delegated authority to the SED to issue citations and impose penalties for violations identified through audits, investigations, or self-reports, with a maximum statutory penalty of $100,000 per day and an administrative limit of $8 million per citation."
R055,CPUC Penalty Risk,"The CPUC can impose penalties of up to $100,000 per day, per violation for safety requirement violations pertaining to the design, construction, testing, operation, and maintenance of utility gas and electric facilities."
R056,CPUC Ratemaking Mechanism Risk,"The CPUC may discontinue or change ratemaking mechanisms in the future, or the Utility may incur environmental costs that exceed amounts the CPUC has authorized the Utility to recover through rates."
R057,CPUC Revenue Authorization Risk,"The CPUC may authorize lower revenues than the Utility requested or extend the recovery period, impairing the Utility's ability to timely recover operating costs and potentially slowing growth in rate base and earnings."
R058,Capital Expenditure Disallowance Risk,"Capital expenditures may be disallowed for ratemaking purposes, requiring recognition of a loss if the disallowance is probable and estimable."
R059,Capital Expenditure Execution Risk,"The completion of capital projects, timing of expenditures, and associated cost recovery may be affected by permitting requirements and delays, construction schedules, and the availability of labor, equipment, materials, and financing."
R060,Capital Market Access Risk,"If the Utility were unable to access the capital markets or the cost of financing were to substantially increase, its financial condition, results of operations, liquidity, and cash flows could be materially affected."
R061,Capital Structure Compliance Risk,"The Utility relies on equity contributions and long-term debt issuances to maintain its CPUC-authorized long-term capital structure of 52% equity and 48% debt and preferred stock, with a temporary five-year waiver granted from compliance with authorized capital structure upon emergence from Chapter 11."
R062,Carbon Cost Exposure for Natural Gas Customers,"Natural gas end-use customers face increasing exposure to carbon costs under CARB's cap-and-trade program through 2030, and potentially aggressive energy efficiency requirements could further reduce natural gas end use."
R063,Carbon Neutrality Regulatory Risk,"AB 1279 codified a statewide goal to achieve economy-wide carbon neutrality by 2045, and the Utility will need to participate in regulatory proceedings to determine how the state will achieve this target."
R064,Carrier and Reseller Dependency Risk,"The Company depends on the performance of carriers, wholesalers, retailers and other resellers, many of which also distribute products and services from competitors. There is no assurance that financing or subsidies offered by carriers will continue."
