risk_id,name,description
R001,2020 Zogg fire,Potential damages and losses from the fire
R002,AI Risks,Issues in the development and use of AI may result in reputational or competitive harm or liability.
R003,Adverse economic conditions,"['Adverse economic conditions may harm our business.', 'Economic and industry uncertainty or changes, including recession or slowing growth, inflation, changes or uncertainty in fiscal, monetary, or trade policy, disruptions to capital markets, currency fluctuations, higher interest rates, tighter credit, lower capital expenditures by businesses, including on IT infrastructure, increases in unemployment, labor shortages, and lower consumer confidence and spending']"
R004,Anti-Corruption Law,"Laws and regulations relating to anti-corruption and trade could result in increased costs, fines, criminal penalties, or reputational damage."
R005,Antitrust investigations,"The Company is subject to antitrust investigations in various jurisdictions around the world, which can result in legal proceedings and claims against the Company."
R006,Brexit,"[""The U.K.'s departure from the EU could harm our business, financial condition, and results of operations."", 'The United Kingdom formally exited the European Union and the European Economic Area on January 31, 2020 with the expiration of the transition period on December 31, 2020.', ""The U.K.'s departure from the EU could harm our business, financial condition, and results of operations""]"
R007,Business Disruptions,"Disruptions from natural disasters, geopolitical tensions, and political developments affecting operations and revenue."
R008,Business disruptions,Business disruptions could harm our operations and financial results.
R009,COVID-19,"['Disruption of and volatility in global financial markets, impacting technology spending, stock price, and liquidity. Requires modifications in business and workforce practices such as flexible work and social distancing measures.', 'Pandemic-related disruptions and lockdowns impacting business operations and supply chain.']"
R010,COVID-19 Pandemic,"The outbreak and emergence of variant strains of the virus, resulting economic conditions and government orders adversely impacting operations."
R011,COVID-19 pandemic,"['The COVID-19 pandemic', ""PG&E Corporation's and the Utility's financial condition, results of operations, liquidity, and cash flows have been and could continue to be significantly affected by the outbreak of the COVID-19 pandemic."", 'Outbreak of the COVID-19 pandemic and its variants causing impact on financial condition, operations, liquidity, and cash flows', 'The timing, duration, or intensity of the pandemic and its impact on business and economic conditions.', 'Expanded hiring opportunities in new geographies and provided flexibility for employees.', 'The COVID-19 pandemic has affected and could continue to have a material adverse impact on our financial condition and results of operations.']"
R012,COVID-19 pandemic impact,The COVID-19 pandemic has affected and could continue to have a material adverse impact on our financial condition and results of operations.
R013,Catastrophic Event,"['Failure to mitigate unsafe conditions leading to a catastrophic event', 'Failure to mitigate unsafe conditions leading to events like wildfires or explosions']"
R014,Catastrophic Event Memorandum Account Application,Memorandum account application for catastrophic events.
R015,Catastrophic Events Risk,Risk related to catastrophic events impacting operations.
R016,Changes in legislation affecting App Store,European Union ('EU') Digital Markets Act compliance by March 2024
R017,Changing workforce dynamics,
R018,Climate Change,"[""Mitigating and adapting to the impacts of climate change presents opportunities for growth for the Utility's business and economic opportunity for the communities it serves."", 'Potential increased exposures to coastal, riverine, and precipitation-related flooding and intensification of wildfires throughout California due to climate-driven changes', 'Physical impacts of climate change, including extreme weather and related emergencies.', 'Enabling safe and reliable energy for customers in light of climate change', 'Long-term effects of climate change may affect availability or cost of goods and services necessary to run business.', ""Events or conditions caused by climate change could have a material impact on the Utility's operations and could result in lower revenues or increased expenses, or both"", 'Risks related to climate impacts across product lifecycle and emerging regulations.', 'Climate change may have an increasingly adverse impact on business, including water and energy availability and reliability impacting facilities vulnerable to extreme weather events.', 'Implications of climate change that could lead to increased expenses and reputational harm.']"
